airport_iata,airport_name,city_iata,utc_offset,timezone_id
FLM,Filadelfia,FLM,-04:00,America/Asuncion
FLN,Florianopolis,FLN,-03:00,America/Araguaina
FLO,Florence,FLO,-05:00,America/New_York
FLP,Flippin Marion County Regional,FLP,-06:00,America/Chicago
FLR,Florence,FLR,+01:00,Europe/Rome
FLS,Flinders Island,FLS,+10:00,Australia/Hobart
FLT,Flat Municipal,FLT,-09:00,America/Anchorage
FLU,New York Flushing Airport,NYC,-05:00,America/New_York
FLV,Fort Leavenworth Sherman Aaf,FLV,-06:00,America/Chicago
FLW,Flores Island,FLW,-01:00,Atlantic/Azores
FLX,Fallon Municipal Apt,NFL,-08:00,America/Los_Angeles
FLY,Finley,FLY,+10:00,Australia/Sydney
FLZ,Sibolga Ferdinand,FLZ,+07:00,Asia/Pontianak
FMA,Formosa,FMA,-03:00,America/Argentina/Buenos_Aires
FMC,Five Mile,FMC,-09:00,America/Anchorage
FME,Fort Meade/Odenton Tipton,FME,-05:00,America/New_York
FMG,Flamingo,FMG,-06:00,America/Costa_Rica
FMH,Falmouth Cape Cod Coast Guard,FMH,-05:00,America/New_York
FMI,Kalemie,FMI,+02:00,Africa/Lubumbashi
FMM,Memmingen Allgaeu,FMM,+01:00,Europe/Berlin
FMN,Farmington,FMN,-07:00,America/Denver
FMO,Muenster-Osnabrueck,FMO,+01:00,Europe/Berlin
FMS,Fort Madison Municipal,FMS,-06:00,America/Chicago
FMU,Florence Municipal,FMU,-08:00,America/Los_Angeles
FMV,Montevideo Fluvial Bus Station,MVD,-03:00,America/Montevideo
FMY,Fort Myers,FMY,-05:00,America/New_York
FNA,Freetown Lungi,FNA,+00:00,Africa/Freetown
FNB,Neubrandenburg Trollenhagen,FNB,+01:00,Europe/Berlin
FNC,Funchal,FNC,+00:00,Europe/Lisbon
FND,Funadhoo,FND,+05:00,Indian/Maldives
FNE,Fane,FNE,+10:00,Pacific/Port_Moresby
FNG,Fada N'gourma,FNG,+00:00,Africa/Ouagadougou
FNH,Fincha'a,FNH,+03:00,Africa/Addis_Ababa
FNI,Nimes,FNI,+01:00,Europe/Paris
FNJ,Pyongyang,FNJ,+09:00,Asia/Pyongyang
FNK,Fin Creek,FNK,-09:00,America/Anchorage
FNL,Fort Collins/Loveland Municipal Apt,FNL,-07:00,America/Denver
FNR,Funter Bay,FNR,-09:00,America/Anchorage
FNT,Flint,FNT,-05:00,America/New_York
FNU,Oristano Fenosu,FNU,+01:00,Europe/Rome
FOA,Foula,FOA,+00:00,Europe/London
FOB,Fort Bragg,FOB,-08:00,America/Los_Angeles
FOC,Fuzhou,FOC,+08:00,Asia/Shanghai
FOD,Fort Dodge Regional,FOD,-06:00,America/Chicago
FOE,Topeka Forbes Afb,TOP,-06:00,America/Chicago
FOG,Foggia Gino Lisa,FOG,+01:00,Europe/Rome
FOI,Foggia Rail Station,FOG,+01:00,Europe/Rome
FOK,Westhampton Beach Francis S. Gabreski,FOK,-05:00,America/New_York
FOM,Foumban Nkounja,FOM,+01:00,Africa/Douala
FON,Fortuna Arenal,FON,-06:00,America/Costa_Rica
FOO,Numfoor,FOO,+09:00,Asia/Jayapura
FOP,Forest Park Morris Aaf,FOP,-05:00,America/New_York
FOR,Fortaleza,FOR,-03:00,America/Araguaina
FOS,Forrest,FOS,+08:00,Australia/Perth
FOT,Forster,FOT,+10:00,Australia/Sydney
FOU,Fougamou,FOU,+01:00,Africa/Libreville
FOX,Fox,FOX,-09:00,America/Anchorage
FOY,Foya,FOY,+00:00,Africa/Monrovia
FPO,Freeport,FPO,-05:00,America/Nassau
